filter_id	lambda_eff	zp_v	mag_fromVega_toST	mag_fromVega_toAB
"CTIO.LCOGT(1,0m).Sinistro.Bessel.V"	5324.08	3664.54	notfound	notfound
"CTIO.LCOGT(1,0m).Sinistro.PS.w"	5484.5	3088.35	notfound	notfound
"CTIO.LCOGT(1,0m).Sinistro.PS.y"	10007.76	2121.47	notfound	notfound
"CTIO.LCOGT(1,0m).Sinistro.PS.z"	8670.54	2277.32	notfound	notfound
"CTIO.LCOGT(1,0m).Sinistro.SDSS.gp"	4649	3963.3	notfound	notfound
"CTIO.LCOGT(1,0m).Sinistro.SDSS.ip"	7471.17	2589.39	notfound	notfound
"CTIO.LCOGT(1,0m).Sinistro.SDSS.rp"	6151.07	3142.59	notfound	notfound
"CTIO.LCOGT(1,0m).Sinistro.SDSS.up"	3543.5	1457.32	notfound	notfound
"CTIO.LCOGT(1,0m).Sinistro.Skymapper.v"	3859.71	2808.26	notfound	notfound
"CTIO.SMARTS(0,9m).CCD.Johnson.U"	3630.98	1780.3	notfound	notfound
"CTIO.SMARTS(0,9m).CCD.Johnson.B"	4185	3897.71	notfound	notfound
"CTIO.SMARTS(0,9m).CCD.Johnson.V"	5443	3562	notfound	notfound
"CTIO.SMARTS(0,9m).CCD.Johnson.R"	6437	2935.65	notfound	notfound
"CTIO.SMARTS(0,9m).CCD.Johnson.I"	8075	2347.46	notfound	notfound
"CTIO.SMARTS(0,9m).CCD.Cousins.Rc"	6437	2935.65	notfound	notfound
"CTIO.SMARTS(0,9m).CCD.Cousins.Ic"	8075	2347.46	notfound	notfound
"CTIO.SMARTS(0,9m).CCD.SDSS.u"	3513	1627.99	notfound	notfound
"CTIO.SMARTS(0,9m).CCD.SDSS.g"	4759	1572.35	notfound	notfound
"CTIO.SMARTS(0,9m).CCD.SDSS.r"	6265	3093.32	notfound	notfound
"CTIO.SMARTS(0,9m).CCD.SDSS.i"	7734	2646.91	notfound	notfound
"CTIO.SMARTS(0,9m).CCD.SDSS.z"	9100	2612.4	notfound	notfound
"CTIO.SMARTS(0,9m).Tek2K.Johnson.U"	3630.98	1780.3	notfound	notfound
"CTIO.SMARTS(0,9m).Tek2K.Johnson.B"	4185	3897.71	notfound	notfound
"CTIO.SMARTS(0,9m).Tek2K.Johnson.V"	5443	3562	notfound	notfound
"CTIO.SMARTS(0,9m).Tek2K.Johnson.R"	6437	2935.65	notfound	notfound
"CTIO.SMARTS(0,9m).Tek2K.Johnson.I"	8075	2347.46	notfound	notfound
"CTIO.SMARTS(0,9m).Tek2K.Cousins.Rc"	6437	2935.65	notfound	notfound
